No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
885,337594,179,364,620,179,
886,337793,459,340,592,459,
887,338292,219,414,607,219,
888,338531,778,306,594,778,
889,339329,479,308,595,479,
890,339827,120,310,592,120,
891,340106,199,332,887,199,
892,340326,100,348,820,100,
893,340465,100,355,718,100,
894,340684,140,352,714,140,
895,340844,259,345,715,259,
896,341123,179,326,707,179,
897,341322,100,328,715,100,
898,341522,179,211,630,179,
899,341741,379,351,719,379,
900,342140,319,308,707,319,
901,342519,100,306,703,100,
902,342638,499,306,709,499,
903,343177,518,341,847,518,
904,343914,499,334,710,499,
905,344453,140,328,699,140,
906,344612,419,374,841,419,
907,345071,179,393,844,179,
908,345270,219,456,845,219,
909,345509,538,300,847,538,
910,346107,100,206,812,100,
911,346247,957,307,873,957,
912,347244,339,260,912,339,
913,347603,498,341,942,498,
914,348141,180,352,838,180,
915,348440,140,315,307,140,
916,348600,180,551,246,180,
917,348899,239,1253,231,239,
918,349238,239,411,893,239,
919,349497,1017,391,917,1017,
920,350534,299,369,933,299,
921,350912,219,271,471,219,
922,351311,120,40,452,120,
923,351451,120,46,464,120,
924,351710,120,245,504,120,
925,351889,1077,209,483,1077,
926,352986,319,228,917,319,
927,353325,159,301,877,159,
928,353803,279,867,592,279,
929,354182,140,858,500,140,
930,354381,718,1038,455,718,
931,355119,139,1033,446,139,
932,355279,179,364,275,179,
933,355578,379,285,227,379,
934,355976,179,114,236,179,
935,356176,439,75,234,439,
936,356634,319,119,243,319,
937,356973,678,278,249,678,
938,357691,299,94,260,299,
939,358010,339,80,262,339,
940,358369,140,171,276,140,
941,358528,279,283,258,279,
942,358828,219,326,258,219,
943,359107,359,311,864,359,
944,359565,140,247,524,140,
945,359784,120,1038,581,120,
946,360044,140,1076,468,140,
947,360303,179,1114,769,179,
948,360801,179,153,300,179,
949,361001,319,79,279,319,
950,361399,279,288,276,279,
951,361698,120,505,246,120,
952,361898,219,1217,205,219,
953,362137,1037,1264,189,1037,
954,363294,279,221,289,279,
955,363592,718,281,277,718,
956,364370,319,54,343,319,
957,364729,339,296,254,339,
958,365128,180,1236,191,180,
959,365327,139,1267,186,139,
960,365586,179,362,230,179,
961,365786,1934,487,209,1934,
962,367740,379,284,226,379,
963,368138,897,489,220,897,
964,369055,558,662,237,558,
965,369733,618,660,243,618,
966,370371,977,666,248,977,
967,371368,658,663,250,658,
968,372126,319,250,479,319,
969,372485,319,258,484,319,
970,372844,160,591,273,160,
971,373023,120,642,253,120,
